Trial,letras,pregunta,respuesta
1,"['Q', 'S', 'Z', 'W', 'K', 'M', 'N']",S,1
2,"['H', 'V', 'F', 'S', 'J', 'B', 'M']",W,3
3,"['J', 'K', 'R', 'Z', 'T', 'L', 'D']",K,0
4,"['S', 'Y', 'D', 'Q', 'C', 'P', 'K']",S,0
5,"['J', 'R', 'K', 'B', 'Y', 'T', 'Z']",R,1
6,"['W', 'G', 'T', 'N', 'R', 'K', 'P']",Y,2
