Trial,letras,pregunta,respuesta
1,"['P', 'X', 'R', 'W', 'L', 'G', 'M']",P,1
2,"['W', 'P', 'H', 'X', 'N', 'S', 'B']",Q,3
3,"['G', 'C', 'X', 'D', 'S', 'V', 'T']",W,2
4,"['W', 'M', 'G', 'R', 'C', 'L', 'P']",W,0
5,"['M', 'T', 'H', 'R', 'V', 'B', 'S']",T,1
6,"['N', 'S', 'B', 'H', 'R', 'Z', 'P']",N,0
