Trial,letras,pregunta,respuesta
1,"['N', 'W', 'Q', 'Z', 'B', 'M', 'C']",W,1
2,"['Q', 'K', 'R', 'P', 'T', 'Y', 'S']",N,2
3,"['F', 'J', 'S', 'L', 'C', 'H', 'X']",P,2
4,"['K', 'Z', 'F', 'T', 'N', 'S', 'H']",K,0
5,"['G', 'H', 'L', 'R', 'T', 'W', 'D']",G,1
6,"['K', 'B', 'H', 'Q', 'S', 'C', 'X']",K,1
